PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
492,842688,644959,Inactive,39,,,39.41
493,842689,644960,Inactive,6,,,6.25
494,842690,644961,Inactive,11,,,11.44
495,842691,644962,Inactive,4,,,3.96
496,842692,644963,Inactive,0,,,-2.88
497,842693,644964,Inactive,0,,,-1.79
498,842694,644965,Inactive,21,,,20.91
499,842695,644966,Inactive,0,,,-2.46
500,842697,644968,Inactive,5,,,4.77
501,842698,644969,Inactive,24,,,24.3
502,842699,644970,Inactive,0,,,-12.2
503,842701,644972,Inactive,0,,,-5.77
504,842702,644973,Inactive,6,,,5.98
505,842704,644975,Inactive,4,,,3.5
506,842705,573774,Inactive,15,,,14.9
507,842706,644976,Inactive,19,,,19.33
508,842708,644978,Inactive,0,,,-2.44
509,842709,644979,Inactive,18,,,17.94
510,842711,644982,Inactive,15,,,14.59
511,842712,115931,Inactive,0,,,-1.1
512,842713,2917341,Inactive,11,,,10.53
513,842714,6602535,Inactive,2,,,1.78
514,842715,6602553,Inactive,0,,,-18.72
515,842718,644993,Inactive,6,,,5.93
516,842719,644994,Inactive,7,,,7.28
517,842720,644995,Inactive,0,,,-0.24
518,842721,644996,Inactive,33,,,32.93
519,842722,644997,Inactive,0,,,-18.6
520,842723,644998,Inactive,0,,,-7.03
521,842724,644999,Inactive,5,,,5.39
522,842727,692347,Inactive,0,,,-0.6
523,842728,645003,Inactive,3,,,3.25
524,842730,645005,Inactive,0,,,0.44
525,842731,645006,Inactive,2,,,2.34
526,842732,645007,Inactive,15,,,14.68
527,842734,645009,Inactive,0,,,-6.25
528,842735,645010,Inactive,0,,,-3.95
529,842736,645011,Inactive,0,,,-3.52
530,842737,645012,Inactive,4,,,4.16
531,842738,645013,Inactive,3,,,3.11
532,842739,645014,Inactive,14,,,14.12
533,842740,5396969,Inactive,0,,,-13.22
534,842741,645016,Inactive,9,,,8.77
535,842742,645017,Inactive,6,,,5.67
536,842743,5768213,Inactive,2,,,2.26
537,842744,645019,Inactive,1,,,1.26
538,842745,645020,Inactive,0,,,-5.49
539,842746,645021,Inactive,0,,,-0.87
540,842747,645022,Inactive,2,,,1.8
541,842749,645024,Inactive,11,,,11.45
542,842750,645025,Inactive,2,,,1.91
543,842752,645027,Inactive,3,,,2.9
544,842753,645028,Inactive,11,,,11.2
545,842754,645029,Inactive,11,,,11.17
546,842755,645030,Inactive,10,,,10.27
547,842756,5348062,Inactive,43,,,42.97
548,842757,645032,Inactive,10,,,9.93
